timestamp,production_wh
2026-06-15T00:00:00+02:00,0.0
2026-06-15T00:05:00+02:00,0.0
2026-06-15T00:10:00+02:00,0.0
2026-06-15T00:15:00+02:00,1.4
2026-06-15T00:20:00+02:00,0.0
2026-06-15T00:25:00+02:00,0.0
2026-06-15T00:30:00+02:00,0.7
2026-06-15T00:35:00+02:00,0.0
2026-06-15T00:40:00+02:00,0.0
2026-06-15T00:45:00+02:00,0.2
2026-06-15T00:50:00+02:00,0.5
2026-06-15T00:55:00+02:00,2.3
2026-06-15T01:00:00+02:00,1.3
2026-06-15T01:05:00+02:00,0.2
2026-06-15T01:10:00+02:00,0.0
2026-06-15T01:15:00+02:00,0.0
2026-06-15T01:20:00+02:00,0.5
2026-06-15T01:25:00+02:00,2.6
2026-06-15T01:30:00+02:00,0.1
2026-06-15T01:35:00+02:00,0.0
2026-06-15T01:40:00+02:00,1.1
2026-06-15T01:45:00+02:00,0.0
2026-06-15T01:50:00+02:00,0.0
2026-06-15T01:55:00+02:00,1.0
2026-06-15T02:00:00+02:00,1.7
2026-06-15T02:05:00+02:00,0.0
2026-06-15T02:10:00+02:00,0.8
2026-06-15T02:15:00+02:00,0.5
2026-06-15T02:20:00+02:00,1.6
2026-06-15T02:25:00+02:00,0.0
2026-06-15T02:30:00+02:00,1.1
2026-06-15T02:35:00+02:00,0.0
2026-06-15T02:40:00+02:00,0.0
2026-06-15T02:45:00+02:00,0.0
2026-06-15T02:50:00+02:00,0.0
2026-06-15T02:55:00+02:00,1.8
2026-06-15T03:00:00+02:00,1.3
2026-06-15T03:05:00+02:00,0.0
2026-06-15T03:10:00+02:00,1.7
2026-06-15T03:15:00+02:00,0.0
2026-06-15T03:20:00+02:00,0.0
2026-06-15T03:25:00+02:00,0.0
2026-06-15T03:30:00+02:00,0.2
2026-06-15T03:35:00+02:00,1.6
2026-06-15T03:40:00+02:00,1.3
2026-06-15T03:45:00+02:00,0.7
2026-06-15T03:50:00+02:00,1.3
2026-06-15T03:55:00+02:00,1.0
2026-06-15T04:00:00+02:00,0.0
2026-06-15T04:05:00+02:00,0.0
2026-06-15T04:10:00+02:00,0.0
2026-06-15T04:15:00+02:00,1.0
2026-06-15T04:20:00+02:00,0.0
2026-06-15T04:25:00+02:00,4.7
2026-06-15T04:30:00+02:00,0.0
2026-06-15T04:35:00+02:00,0.0
2026-06-15T04:40:00+02:00,1.5
2026-06-15T04:45:00+02:00,2.8
2026-06-15T04:50:00+02:00,1.0
2026-06-15T04:55:00+02:00,1.7
2026-06-15T05:00:00+02:00,2.9
2026-06-15T05:05:00+02:00,0.0
2026-06-15T05:10:00+02:00,0.0
2026-06-15T05:15:00+02:00,0.0
2026-06-15T05:20:00+02:00,1.9
2026-06-15T05:25:00+02:00,0.0
2026-06-15T05:30:00+02:00,0.1
2026-06-15T05:35:00+02:00,0.5
2026-06-15T05:40:00+02:00,0.0
2026-06-15T05:45:00+02:00,1.4
2026-06-15T05:50:00+02:00,2.7
2026-06-15T05:55:00+02:00,2.3
2026-06-15T06:00:00+02:00,8.0
2026-06-15T06:05:00+02:00,7.8
2026-06-15T06:10:00+02:00,10.5
2026-06-15T06:15:00+02:00,14.2
2026-06-15T06:20:00+02:00,16.7
2026-06-15T06:25:00+02:00,21.9
2026-06-15T06:30:00+02:00,25.7
2026-06-15T06:35:00+02:00,29.7
2026-06-15T06:40:00+02:00,32.9
2026-06-15T06:45:00+02:00,35.2
2026-06-15T06:50:00+02:00,43.0
2026-06-15T06:55:00+02:00,43.2
2026-06-15T07:00:00+02:00,50.7
2026-06-15T07:05:00+02:00,52.3
2026-06-15T07:10:00+02:00,56.3
2026-06-15T07:15:00+02:00,65.0
2026-06-15T07:20:00+02:00,60.7
